Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
334	Key Chain / Castle / Knights Kingdom I	3923	King Leo Key Chain	2000	15.6	? x ? x ?
334	Key Chain / Town / Classic Town / Police	3952	Police Officer Key Chain, Printed Helmet	1998	10	? x ? x ?
334	Key Chain / Holiday & Event / Christmas	3953	Santa Key Chain	1998	10.206	? x ? x ?
334	Key Chain / Adventurers	KC140	Johnny Thunder Key Chain	1998	11	? x ? x ?
517	Watch / BIONICLE	7382	Watch Set, BIONICLE	2002	?	? x ? x ?
517	Watch / Creator	7383	Watch Set, Creator	2002	78	14 x 9 x 6
517	Watch / Technic	7384	Watch Set, Technic Create 'N Race - Version 2	2002	?	? x ? x ?
517	Watch / Sports / Soccer	7385	Watch Set, Soccer (Football) 2002	2002	?	? x ? x ?
517	Watch / Space / Life on Mars	7386	Watch Set, Life on Mars	2002	?	? x ? x ?
517	Watch / Belville	7387	Watch Set, Belville Boutique	2002	?	? x ? x ?
336	Clock / Creator	7396	Clock Set, Creator	2002	?	? x ? x ?
336	Clock / BIONICLE	7397	Clock Set, BIONICLE	2002	246	19 x 14.3 x 5.8
336	Clock / Belville	7398	Clock Set, Belville Fairy Castle	2002	?	? x ? x ?
336	Clock / Sports / Soccer	7399	Clock Set, Soccer Stadium	2001	?	? x ? x ?
336	Clock / Space / Life on Mars	7400	Clock Set, Life on Mars	2001	262	19 x 14 x 5.8
336	Clock	4383	Clock Set, Time Teaching	2001	?	? x ? x ?
336	Clock	4391	Clock Set, Scary	2000	?	? x ? x ?
336	Clock / Sports / Soccer	4392	Clock Set, Soccer / Football	2001	?	? x ? x ?
336	Clock	4394	Clock Set, Dolphin	2000	261	? x ? x ?
517	Watch / Space	7377	Watch Set, Mars Biodium - Mars Discovery	2002	?	? x ? x ?
517	Watch / Belville	7381	Watch Set, Tender Heart	2001	?	6.8 x 29 x 1.8
517	Watch	9950	Watch Set, Quazar Digital	1999	?	? x ? x ?
1008	Decoration / Holiday & Event / Christmas	D735	Department 56 LEGO Building Creation Station	2001	?	? x ? x ?
1008	Decoration / Holiday & Event / Christmas	D810	Department 56 Little Builders	2001	?	? x ? x ?
543	Clothing, Adult / LEGOLAND Parks	TS08	T-Shirt, Legoland California	?	?	? x ? x ?
543	Clothing, Adult / Town / Space Port	TS09	T-Shirt, Space Port	1999	?	? x ? x ?
543	Clothing, Adult / Adventurers / Jungle	TS10	T-Shirt, Adventurers Jungle	?	?	? x ? x ?
543	Clothing, Adult / Arctic	TS12	T-Shirt, Arctic	?	?	? x ? x ?
543	Clothing, Adult / Castle / Knights Kingdom I	TS13	T-Shirt, Knights' Kingdom I	?	?	? x ? x ?
543	Clothing, Adult / Space / Life on Mars	TS15	T-Shirt, Life on Mars	?	?	? x ? x ?
543	Clothing, Adult / Alpha Team	TS16	T-Shirt, Alpha Team	?	?	? x ? x ?
543	Clothing, Adult	TS19	T-Shirt, World Tour	?	186	? x ? x ?
1008	Decoration / Holiday & Event / Christmas	D809	Department 56 Brick Lift	2001	?	? x ? x ?
1111	Clothing Accessories	1123	Ball Cap, LEGO Maniac Hat	?	80	? x ? x ?
1111	Clothing Accessories	1132	Ball Cap, LEGO Maniac Hat	?	80	? x ? x ?
334	Key Chain	3917-GEAR	2 x 4 Brick - Red Key Chain	2001	11	? x ? x ?
399	Storage	case01	Storage Case with LEGO Logo (305 x 264 x 90 mm)	1997	710	30 x 26 x 9
334	Key Chain / Space / Life on Mars	3926	Life on Mars Martian Key Chain	2002	11	? x ? x ?
334	Key Chain / Studios	3924	Director Key Chain	2001	14	? x ? x ?
543	Clothing, Adult / Alpha Team	TS20	T-Shirt, Alpha Team Glow	?	?	? x ? x ?
543	Clothing, Adult / Star Wars / Star Wars Episode 1	TS11	T-Shirt, SW Naboo Fighter	?	?	? x ? x ?
543	Clothing, Adult / Sports / Soccer	TS14	T-Shirt, Soccer	?	?	? x ? x ?
543	Clothing, Adult / BIONICLE	TS17	T-Shirt, Bionicle Toa	?	?	? x ? x ?
517	Watch	4369-GEAR	Watch Set, X-Tracker	2000	?	? x ? x ?
517	Watch	7368	Watch Set, Time Cruiser Jr.	2001	165	6.9 x 29.1 x 1.8
336	Clock	4393	Clock Set, Kitty	2000	240	22 x 19.5 x 5
241	Pen / Sports	P1528	Baseball Pen	2001	161	? x ? x ?
241	Pen / Sports	P1529	Basketball Pen 2001	2001	135.1	? x ? x ?
241	Pen / Sports	P1530	Football Pen	2001	?	? x ? x ?
252	Game / BIONICLE	4151847	BIONICLE Quest for the Masks: Trading Card Game - 1: Gali & Pohatu	2001	?	? x ? x ?
252	Game / BIONICLE	4151848	BIONICLE Quest for the Masks: Trading Card Game - 2: Tahu & Kopaka	2001	234	? x ? x ?
