Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
332	Informational Book / Train / 4.5V	97040ch	Alles über den neuen Lego-Batterie-Motor 4.5V / Ce qu'il faut savoir du nouveau moteur à piles Lego à 4.5 volts (97040-Sch.)	1974	9.53	13.5 x 13.5 x 0.05
766	Activity Book / NINJAGO	b21njo01nl	NINJAGO - Destiny's Bounty Avonturenbox (Dutch Edition)	2021	622	25.9 x 21.9 x 3.8
766	Activity Book / Dots	b21dots01nl	Dots - Ontwerp Plezier (Dutch Edition)	2021	576	21.9 x 25.9 x 3.8
1261	Magazine, LEGO Life	mag2021life05	LEGO Life Magazine 2021 Issue 5 November - December	2021	56	20.4 x 26.7 x 0.2
766	Activity Book / Town / City	b21cty03nl	City - Klaar voor Actie! (Softcover) (Dutch Edition)	2021	254	20.5 x 28.5 x 1
766	Activity Book / NINJAGO / Legacy	b21njol02nl	NINJAGO Legacy - Bewapend Voor Actie! Kai (Dutch Edition)	2021	281	20.5 x 28.5 x 2
1022	Magazine, Friends	mag2022frnd01de	Friends Magazine 2022 Issue 1 (German)	2022	?	? x ? x ?
331	Comic Book / NINJAGO	b12njo14	NINJAGO - Graphic Novel  3: Rise of the Serpentine (Softcover)	2012	166	15.3 x 22.9 x 0.5
1025	Magazine, Star Wars	mag2022sw79uk	Star Wars Magazine 2022 Issue 79 (English - UK)	2022	84	21 x 28 x 0.2
1109	Magazine, Explorer	mag2022ex02de	Explorer Magazine 2022 Issue 2 (German)	2022	87	21 x 28 x 0.2
1165	Magazine, Minecraft	mag2021min01de	Minecraft Magazine 2021 Issue 1 (German)	2021	85	21 x 28 x 0.13
1025	Magazine, Star Wars	mag2022sw79de	Star Wars Magazine 2022 Issue 79 (German)	2022	87	21 x 28 x 0.13
1024	Magazine, NINJAGO	mag2022njo84de	NINJAGO Magazine 2022 Issue 84 (German)	2022	87	21 x 28 x 0.13
1022	Magazine, Friends	mag2022frnd01nl	Friends Magazine 2022 Issue 1 (Dutch)	2022	103	21 x 28 x 0.13
1024	Magazine, NINJAGO	mag2022njo01nl	NINJAGO Magazine 2022 Issue 1 (Dutch)	2022	97	21 x 28 x 0.13
1021	Magazine, City	mag2022cty01nl	City Magazine 2022 Issue 1 (Dutch)	2022	116	21 x 28 x 0.13
766	Activity Book / Holiday & Event / Halloween	b20hol02nl	Bouw & Vier: Halloween (Softcover) (Dutch Edition)	2020	248	20.5 x 28.8 x 2
1102	Sticker Book / Star Wars	b20sw12hu	Star Wars - Matricás Album (Softcover) (Hungarian Edition)	2020	142	21 x 28 x 0.2
1261	Magazine, LEGO Life	mag2017life04de	LEGO Life Magazine 2017 Issue 4 September - October (German)	2017	50	20 x 27 x 0.5
1167	Magazine, LEGO Club	wc11dejr4	Lego Club Junior Magazin (German) 2011 Issue 4	2011	50	20 x 27 x 0.5
1167	Magazine, LEGO Club	wc15dejr5	Lego Club Junior Magazin (German) 2015 Issue 5	2015	50	20 x 27 x 0.5
1167	Magazine, LEGO Club	mag2016de3	LEGO Club Magazine 2016 Friends Issue 3 (German)	2016	50	20 x 27 x 0.5
1167	Magazine, LEGO Club	mag2015de3	LEGO Club Magazine 2015 Friends Issue 3 (German)	2015	50	20 x 27 x 0.5
1167	Magazine, LEGO Club	mag2015de2	LEGO Club Magazine 2015 Elves Issue 2 (German)	2015	50	20 x 27 x 0.5
1261	Magazine, LEGO Life	mag2022life01de	LEGO Life Magazine 2022 Issue 1 January - February (German)	2022	56	20.2 x 26.8 x 0.2
1021	Magazine, City	mag2022cty37de	City Magazine 2022 Issue 37 (German)	2022	?	? x ? x ?
505	Story Book / Star Wars	9780545873284	Star Wars Droid Tales	2016	170	15.3 x 22.8 x 0.6
505	Story Book / Star Wars / Star Wars Episode 4/5/6	b14sw15	Star Wars - The Empire Strikes Back (Softcover)	2014	69	15 x 22.8 x 0.3
505	Story Book / Star Wars / Star Wars Episode 4/5/6	b14sw13	Star Wars - A New Hope (Softcover)	2014	79	15 x 22.8 x 0.34
505	Story Book / Star Wars / Star Wars Episode 3	b15sw20	Star Wars - Revenge of the Sith (Softcover)	2015	71	20.4 x 20.3 x 0.3
1024	Magazine, NINJAGO / Legacy	mag2021njol13de	NINJAGO Legacy Magazine 2021 Issue 13 (German)	2021	151	22.8 x 29.8 x 0.13
766	Activity Book / Star Wars	b16sw01sr	Star Wars - Svemirske avanture (Softcover) (Serbian Edition)	2016	175	21.6 x 28 x 2
766	Activity Book / Star Wars	b16sw02sr	Star Wars - Potraga za Kajber mačem (Serbian Edition)	2016	175	21.6 x 28 x 2
