Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
174	Studios / Jurassic Park III	1370-1	Raptor Rumble Studio	2001	?	28 x 19 x 4
9	Castle / Lion Knights / Legends	10000-1	Guarded Inn	2001	87	28.7 x 19 x 5.8
3	Boat	311-1	Ferry	1973	?	? x ? x ?
3	Boat	315-2	Container Transport	1976	59.2	35 x 12.5 x 5
63	Service Packs / Pirates / Pirates I	5058-1	Pirate Accessories	1993	?	? x ? x ?
63	Service Packs / Pirates / Pirates I	5150-1	Pirate Elements	1990	?	? x ? x ?
63	Service Packs	5169-1	Crane Set Assembly	1987	?	? x ? x ?
63	Service Packs / Town	5050-1	Plane Accessories	1993	4.22	12 x 19 x 2.5
422	Universal Building Set / Basic Model	1953-1	Mouse polybag	1989	?	? x ? x ?
65	Star Wars / Star Wars Episode 4/5/6	7146-1	TIE Fighter	2001	107	19.1 x 28.6 x 7
65	Star Wars / Star Wars Episode 4/5/6	7166-1	Imperial Shuttle	2001	176	28.6 x 28.7 x 7
277	LEGOLAND / Western / Cowboys	617-1	Cowboys	1976	14	10.3 x 6.5 x 4.1
277	LEGOLAND / Western / Cowboys	697-1	Stagecoach	1976	18	20 x 6.5 x 4
277	LEGOLAND / Western / Cowboys	365-1	Wild West Scene	1975	?	51 x 30 x 6
169	Sculptures / Mosaic	3443-1	Mosaic	2000	232	40 x 40 x 4
169	Sculptures	3450-1	Statue of Liberty	2000	?	? x ? x ?
169	Sculptures	3723-1	Minifigure	2000	705	65 x 48 x 9
169	Sculptures	3724-1	Dragon	2001	?	? x ? x ?
170	Alpha Team	6771-1	Ogel Command Striker	2001	18	14.2 x 9.5 x 3.7
170	Alpha Team	6772-1	Alpha Team Cruiser	2001	30	14.3 x 14.1 x 4.6
170	Alpha Team	6773-1	Alpha Team Helicopter	2001	37	19 x 14.2 x 4.6
170	Alpha Team	6774-1	Alpha Team ATV	2001	92	28.5 x 19 x 5.8
170	Alpha Team	6775-1	Alpha Team Bomb Squad	2001	151	28.6 x 28.6 x 5.8
170	Alpha Team	6776-1	Ogel Control Center	2001	214	38.2 x 28.6 x 11.1
171	Creator / Basic Model / Race	4016-1	Racer polybag	2001	0.78	13.6 x 10.3 x 1.7
171	Creator / Basic Model / Harbor	4017-1	Sea Helicopter	2001	16	9.9 x 12.3 x 3.7
171	Creator / Basic Model / Harbor	4018-1	Ship	2001	16	9.9 x 12.3 x 3.7
171	Creator / Basic Model / Airport	4019-1	Aeroplane	2001	16	9.9 x 12.3 x 3.7
171	Creator / Basic Set	4115-1	All That Drives	2001	390	? x ? x ?
171	Creator / Basic Set	4116-1	Animal Adventures	2001	?	? x ? x ?
171	Creator / Basic Set	4117-1	Fantastic Flyers and Cool Cars	2001	?	? x ? x ?
171	Creator / Basic Set	4118-1	Buildings, Mansions and Shops	2001	?	? x ? x ?
171	Creator / Basic Set	4119-1	Regular & Transparent Bricks	2001	?	? x ? x ?
171	Creator / Basic Set	4121-1	All Kinds of Animals	2001	?	66.9 x 32 x 8.6
171	Creator / Basic Set	4171-1	Spot & Friends	2001	?	14.2 x 14.2 x 4.5
171	Creator / Basic Set	4172-1	Tina's House	2001	?	? x ? x ?
171	Creator / Basic Set	4173-1	Max's Pitstop	2001	?	? x ? x ?
171	Creator / Basic Set	4174-1	Max Goes Flying	2001	?	28.5 x 23.7 x 4.5
171	Creator / Basic Set	4175-1	Adventures with Max & Tina	2001	?	28.5 x 28.5 x 4.5
171	Creator / Basic Set	4176-1	The Race of the Year	2001	?	? x ? x ?
171	Creator / Basic Set	4177-1	Building Stories with Na-Na Bird	2001	?	? x ? x ?
65	Star Wars / Star Wars Episode 4/5/6	7106-1	Droid Escape	2001	31	19 x 9.4 x 5.9
65	Star Wars / Star Wars Episode 1	7126-1	Battle Droid Carrier	2001	37	19 x 14.1 x 4.6
65	Star Wars / Star Wars Episode 4/5/6	7127-1	Imperial AT-ST	2001	37	19.4 x 14.2 x 4.7
65	Star Wars / Star Wars Episode 1	7186-1	Watto's Junkyard	2001	213	38.4 x 28.6 x 7
34	Space / Life on Mars	7300-1	Double Hover	2001	?	9.4 x 14.2 x 3.8
34	Space / Life on Mars	7301-1	Rover	2001	?	14.2 x 9.5 x 3.8
34	Space / Life on Mars	7302-1	Worker Robot	2001	?	9.4 x 14.2 x 3.8
34	Space / Life on Mars	7303-1	Jet Scooter	2001	?	9.3 x 14.2 x 3.8
34	Space / Life on Mars	7308-1	Double Hover	2001	?	14 x 9.5 x 3.6
34	Space / Life on Mars	7309-1	Rover	2001	?	14.25 x 9.5 x 3.75
34	Space / Life on Mars	7310-1	Mono Jet	2001	20	9.5 x 9.5 x 5.9
34	Space / Life on Mars	7311-1	Red Planet Cruiser	2001	29	19.1 x 9.4 x 4.5
34	Space / Life on Mars	7312-1	T3-Trike	2001	?	19 x 15 x 6
34	Space / Life on Mars	7313-1	Red Planet Protector	2001	88	29 x 19 x 5
34	Space / Life on Mars	7314-1	Recon-Mech RP	2001	88	28.5 x 19 x 4.5
34	Space / Life on Mars	7315-1	Solar Explorer	2001	128	33.3 x 23.7 x 5.9
34	Space / Life on Mars	7316-1	Excavation Searcher	2001	188	38 x 29 x 6
78	FreeStyle	4239-1	FreeStyle Set polybag #7	1998	?	17.5 x 17.5 x 1.5
34	Space / Life on Mars	7317-1	Aero Tube Hanger (Hangar)	2001	548.3	47.7 x 38.3 x 10.8
34	Space / Life on Mars	7320-1	Vega polybag	2001	?	8.9 x 8.7 x 1
34	Space / Life on Mars	7322-1	Altair polybag	2001	?	8.9 x 8.7 x 1
34	Space / Life on Mars	7323-1	Guard polybag	2001	?	8.9 x 8.7 x 1
