Category ID	Category Name	Number	Name	Alternate Item Number	Weight (in Grams)	Dimensions
775	Slope, Curved, Decorated	30602pb041R	Slope, Curved 2 x 2 Lip with Shell Logo Pattern Model Right Side (Sticker) - Sets 8375 / 8654 / 8672 / 8673		1	2 x 2 x 1
775	Slope, Curved, Decorated	30602pb032L	Slope, Curved 2 x 2 Lip with Vodafone Pattern Left (Sticker) - Sets 8654 / 8375		0.97	2 x 2 x 1
160	Sticker Sheet	8098stk01	Sticker Sheet for Set 8098 - (90352/4583265)	90352	0.36	? x ? x ?
175	Food & Drink	88432	Turkey Drumstick, 23mm with Round Opening on Back		0.35	? x ? x ?
738	Flag, Decorated	2335pb022	Flag 2 x 2 Square with German Flag Pattern (Sticker) - Set 8672		0.5	2 x 2 x 0
738	Flag, Decorated	2335pb021	Flag 2 x 2 Square with Brazilian Flag Pattern (Sticker) - Set 8672		0.5	2 x 2 x 0
738	Flag, Decorated	2335pb023	Flag 2 x 2 Square with Italian Flag Pattern (Sticker) - Set 8672		0.5	2 x 2 x 0
461	Panel, Decorated	4215bpb23	Panel 1 x 4 x 3 - Hollow Studs with Shell Logo Pattern (Sticker) - Set 8672		2.5	1 x 4 x 3
461	Panel, Decorated	4215bpb24	Panel 1 x 4 x 3 - Hollow Studs with Vodafone Logo Pattern (Sticker) - Set 8672		2.5	1 x 4 x 3
160	Sticker Sheet	7937stk01	Sticker Sheet for Set 7937 - (90803/4584936)	90803	0.5	? x ? x ?
39	Tile, Decorated	4162pb043	Tile 1 x 8 with German Flag and Black 'M. Schumacher' Pattern (Sticker) - Sets 8144-1 / 8672		1.07	1 x 8 x 0
39	Tile, Decorated	4162pb044	Tile 1 x 8 with Brazilian Flag and Black 'F. Massa' Pattern (Sticker) - Set 8672		1.06	1 x 8 x 0
461	Panel, Decorated	4864bpb031L	Panel 1 x 2 x 2 - Hollow Studs with Shell, AMD and Vodafone Logo on Left Pattern (Sticker) - Sets 8672 / 8673		1.1	1 x 2 x 2
461	Panel, Decorated	4864bpb031R	Panel 1 x 2 x 2 - Hollow Studs with Shell, AMD and Vodafone Logo on Right Pattern (Sticker) - Sets 8672 / 8673		1.1	1 x 2 x 2
775	Slope, Curved, Decorated	30602pb042L	Slope, Curved 2 x 2 Lip with Vodafone Logo Pattern Left (Sticker) - Sets 8672 / 8673		1	2 x 2 x 1
775	Slope, Curved, Decorated	30602pb042R	Slope, Curved 2 x 2 Lip with Vodafone Logo Pattern Right (Sticker) - Sets 8672 / 8673		1	2 x 2 x 1
736	Brick, Round, Decorated	553px1a	Brick, Round 2 x 2 Dome Top with Silver and Red Pattern (SW R5-D4) - 6 Arcs on Top		0.88	2 x 2 x 1
582	Stickered Assembly	BA009pb08	Stickered Assembly 8 x 1 x 2 with Black and White Checkered Stripes and 'ITALIAN GRAND PRIX' Pattern (Sticker) - Set 8672 - 2 Brick 1 x 8		6.5	8 x 1 x 2
118	Brick, Decorated	2456pb003	Brick 2 x 6 with Black '2' Pattern (Sticker) - Set 8672		3.76	2 x 6 x 1
118	Brick, Decorated	2456pb004	Brick 2 x 6 with Black '3' Pattern (Sticker) - Set 8672		3.76	2 x 6 x 1
118	Brick, Decorated	3001pb071	Brick 2 x 4 with Black '1' Pattern (Sticker) - Set 8672		2.34	2 x 4 x 1
524	DUPLO, Toolo	85353c01pb01	Duplo, Toolo Car Chassis Assembly with Bright Green Body and Dark Bluish Gray Interior		141	12 x 6 x 4
524	DUPLO, Toolo	85359c01pb01	Duplo, Toolo Truck Chassis Assembly with Flatbed and Yellow Cab		169	14 x 6 x 6
488	DUPLO, Vehicle	85348	Duplo Crane Base with String Drum Holder and Arm		36	4 x 8 x 4
488	DUPLO, Vehicle	85347	Duplo Engine Block 2 x 2 (Motor)	18012	8	2 x 2 x 1
488	DUPLO, Vehicle	85355	Duplo Car Hood 3 x 4		5	3 x 4 x 0
488	DUPLO, Vehicle	85355pb01	Duplo Car Hood 3 x 4 with Black Grille on Light Bluish Gray Background Pattern		5	3 x 4 x 0
440	DUPLO, Brick, Decorated	31111pb037	Duplo, Brick 2 x 4 x 2 with Tools on Light Gray Background Pattern		23.4	2 x 4 x 2
440	DUPLO, Brick, Decorated	6474pb29	Duplo, Brick 2 x 2 x 1 1/2 Slope 45 with Oscilloscope Pattern		8	2 x 2 x 1.5
440	DUPLO, Brick, Decorated	6474pb30	Duplo, Brick 2 x 2 x 1 1/2 Slope 45 with Gauge, Buttons, and '34.50' Pattern		8	2 x 2 x 1.5
440	DUPLO, Brick, Decorated	2291pb05	Duplo, Brick 2 x 10 with Tools and Red and White Stripes Pattern		29	2 x 10 x 1
118	Brick, Decorated	crssprt02pb61	Brick 1 x 6 without Bottom Tubes with Cross Side Supports with Black 'TAXA' Serif Thin Pattern		2.5	1 x 6 x 1
118	Brick, Decorated	crssprt02pb62	Brick 1 x 6 without Bottom Tubes with Cross Side Supports with Black 'TAXA' and Dots Bold Pattern		2.5	1 x 6 x 1
