Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To
74	Trans-Medium Blue	76A3C8	Transparent	98	202	902	166	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	37	36	219	52	2003	2006
16	Trans-Neon Green	C0F500	Transparent	229	1144	1012	300	1990	2024
18	Trans-Neon Orange	FF4231	Transparent	247	1040	1015	325	1993	2023
121	Trans-Neon Yellow	FFD700	Transparent	28	36	410	83	2001	2006
98	Trans-Orange	E96F01	Transparent	282	2770	929	366	2003	2026
107	Trans-Pink	FF8298	Transparent	68	45	323	89	2003	2006
51	Trans-Purple	5525B7	Transparent	170	509	652	197	2000	2026
17	Trans-Red	9C0010	Transparent	271	4389	1293	341	1969	2026
19	Trans-Yellow	EBF72D	Transparent	252	3037	1112	322	1969	2026
57	Chrome Antique Brass	645a4c	Chrome	3	17	425	3	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	873	10	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	354	9	1998	2006
21	Chrome Gold	f1f2e1	Chrome	52	308	1405	62	1989	2026
64	Chrome Green	3CB371	Chrome	1	2	197	4	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	172	6	2001	2007
22	Chrome Silver	DCDCDC	Chrome	104	531	1797	170	1966	2026
237	Bionicle Copper	985750	Pearl	2	1	121	5	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	2	363	10	2002	2002
239	Bionicle Silver	A59287	Pearl	6	2	470	7	2002	2002
84	Copper	AC6D52	Pearl	11	23	634	40	2004	2008
81	Flat Dark Gold	AD7118	Pearl	50	48	601	169	2002	2006
95	Flat Silver	8D949C	Pearl	950	3638	3204	1264	2008	2026
244	Pearl Black	282725	Pearl	6	9	929	19	2003	2006
254	Pearl Blue	3977C7	Pearl	4	9	140	8	2003	2009
255	Pearl Brown	815542	Pearl	3	7	166	3	2003	2006
77	Pearl Dark Gray	666660	Pearl	934	1596	2723	1012	2000	2026
